Sr No.,NUMC_ID,NUMC_CODE,Arabic_term,NUMC_TERM,Short_definition,Long_definition,query,normalized_term
50,49,A-20,جنون/ وسواس,Junūn/ Waswās,Insanity,A disturbed state of mind in which patient becomes insane. In this condition patient develops false perceptions and hallucinations accompanied with behavioural changes. Patient usually indulges in misbehaviour and does not follow discipline.,junūn/ waswās junūn/ waswās junūn/ waswās junūn/ waswās جنون/ وسواس جنون/ وسواس جنون/ وسواس جنون/ وسواس insanity insanity insanity a disturbed state of mind in which patient becomes insane. in this condition patient develops false perceptions and hallucinations accompanied with behavioural changes. patient usually indulges in misbehaviour and does not follow discipline.,junūn/ waswās
51,50,A-21,مانيا/ جنون سبعی,Māniyā/ Junūn Saba‘ī,Psychosis/Mania,A severe form of agitated behaviour.,māniyā/ junūn saba‘ī māniyā/ junūn saba‘ī māniyā/ junūn saba‘ī māniyā/ junūn saba‘ī مانيا/ جنون سبعی مانيا/ جنون سبعی مانيا/ جنون سبعی مانيا/ جنون سبعی psychosis/mania psychosis/mania psychosis/mania a severe form of agitated behaviour.,māniyā/ junūn saba‘ī
52,51,A-22,داء الكلب,Dā’ al-Kalb,Cynanthropy,A combined state of agitation and relaxation caused by the accumulation of <em>Muḥtariq Sawdā’</em> (burnt black bile) in the brain.,dā’ al-kalb dā’ al-kalb dā’ al-kalb dā’ al-kalb داء الكلب داء الكلب داء الكلب داء الكلب cynanthropy cynanthropy cynanthropy a combined state of agitation and relaxation caused by the accumulation of <em>muḥtariq sawdā’</em> (burnt black bile) in the brain.,dā’ al-kalb
53,52,A-23,صبارا,Ṣubārā,Maniac phrenitis,An intensely disturbed state of mind accompanied with fever. It is caused by <em>Muḥtariq Ṣafrā’</em> (burnt yellow bile) and resembles very much with <em>Sarsām Ṣafrāwī</em> in terms of fever and the condition of urine.,ṣubārā ṣubārā ṣubārā ṣubārā صبارا صبارا صبارا صبارا maniac phrenitis maniac phrenitis maniac phrenitis an intensely disturbed state of mind accompanied with fever. it is caused by <em>muḥtariq ṣafrā’</em> (burnt yellow bile) and resembles very much with <em>sarsām ṣafrāwī</em> in terms of fever and the condition of urine.,ṣubārā
54,53,A-24,عشق,‘Ishq,Erotomania,"A type of hallucination which resembles <em>Mālankhūliyā</em>. In this condition, patient usually visualises the picture or thought of his beloved person in order to feel him/her.","‘ishq ‘ishq ‘ishq ‘ishq عشق عشق عشق عشق erotomania erotomania erotomania a type of hallucination which resembles <em>mālankhūliyā</em>. in this condition, patient usually visualises the picture or thought of his beloved person in order to feel him/her.",‘ishq
55,54,A-25,سدر و دوار,Sadr-o-Duwār,Vertigo and giddiness,"Sadr is a disease of brain in which the person experiences darkness on standing. This condition usually accompanies with heaviness of head, tinnitus and confusion. <em>Duwār</em> is similar to <em>Sadr</em> but in this condition the patients feel giddiness also.","sadr-o-duwār sadr-o-duwār sadr-o-duwār sadr-o-duwār سدر و دوار سدر و دوار سدر و دوار سدر و دوار vertigo and giddiness vertigo and giddiness vertigo and giddiness sadr is a disease of brain in which the person experiences darkness on standing. this condition usually accompanies with heaviness of head, tinnitus and confusion. <em>duwār</em> is similar to <em>sadr</em> but in this condition the patients feel giddiness also.",sadr-o-duwār
56,55,A-25.1,سدر و دوار دماغي دموي,Sadr-o-Duwār Dimāghī Damawī,Sanguineous vertigo and giddiness,"A type of vertigo and giddiness caused by the accumulation of <em>Dam</em> (blood /sanguine) in the brain itself. It is characterized by frequent episodes of giddiness, flushing of face, redness of eyes and elevated temperature of head. Initially, it is accompanied with lacrimation.","sadr-o-duwār dimāghī damawī sadr-o-duwār dimāghī damawī sadr-o-duwār dimāghī damawī sadr-o-duwār dimāghī damawī سدر و دوار دماغي دموي سدر و دوار دماغي دموي سدر و دوار دماغي دموي سدر و دوار دماغي دموي sanguineous vertigo and giddiness sanguineous vertigo and giddiness sanguineous vertigo and giddiness a type of vertigo and giddiness caused by the accumulation of <em>dam</em> (blood /sanguine) in the brain itself. it is characterized by frequent episodes of giddiness, flushing of face, redness of eyes and elevated temperature of head. initially, it is accompanied with lacrimation.",sadr-o-duwār dimāghī damawī
57,56,A-25.2,سدر و دوار دماغي بلغمي,Sadr-o-Duwār Dimāghī Balghamī,Phlegmatic vertigo and giddiness,"Mostly it occurs due to the accumulation of <em>Balgham</em> (phlegm) in the brain. It is characterized by vertigo and giddiness along with heaviness of head, increased salivation, decreased thirst, altered sensorium, increased sleep and pulsus mollis.","sadr-o-duwār dimāghī balghamī sadr-o-duwār dimāghī balghamī sadr-o-duwār dimāghī balghamī sadr-o-duwār dimāghī balghamī سدر و دوار دماغي بلغمي سدر و دوار دماغي بلغمي سدر و دوار دماغي بلغمي سدر و دوار دماغي بلغمي phlegmatic vertigo and giddiness phlegmatic vertigo and giddiness phlegmatic vertigo and giddiness mostly it occurs due to the accumulation of <em>balgham</em> (phlegm) in the brain. it is characterized by vertigo and giddiness along with heaviness of head, increased salivation, decreased thirst, altered sensorium, increased sleep and pulsus mollis.",sadr-o-duwār dimāghī balghamī
58,57,A-25.3,سدر و دوار دماغي صفراوي,Sadr-o-Duwār Dimāghī Ṣafrāwī,Bilious vertigo and giddiness,"A type of vertigo and giddiness caused by the accumulation of <em>Ṣafrā’</em> (yellow bile) in the brain. It is characterized by vertigo and giddiness along with pale face, bitter taste, pulsus velox and thirst.","sadr-o-duwār dimāghī ṣafrāwī sadr-o-duwār dimāghī ṣafrāwī sadr-o-duwār dimāghī ṣafrāwī sadr-o-duwār dimāghī ṣafrāwī سدر و دوار دماغي صفراوي سدر و دوار دماغي صفراوي سدر و دوار دماغي صفراوي سدر و دوار دماغي صفراوي bilious vertigo and giddiness bilious vertigo and giddiness bilious vertigo and giddiness a type of vertigo and giddiness caused by the accumulation of <em>ṣafrā’</em> (yellow bile) in the brain. it is characterized by vertigo and giddiness along with pale face, bitter taste, pulsus velox and thirst.",sadr-o-duwār dimāghī ṣafrāwī
59,58,A-25.4,سدر و دوار دماغي سوداوي,Sadr-o-Duwār Dimāghī Sawdāwī,Melancholic vertigo and giddiness,"A type of vertigo and giddiness caused by the accumulation of <em>Sawdā’</em> (black bile) in the brain. It is characterized by excessive thoughts and sleeplessness, pulsus debilis and pulses durus.","sadr-o-duwār dimāghī sawdāwī sadr-o-duwār dimāghī sawdāwī sadr-o-duwār dimāghī sawdāwī sadr-o-duwār dimāghī sawdāwī سدر و دوار دماغي سوداوي سدر و دوار دماغي سوداوي سدر و دوار دماغي سوداوي سدر و دوار دماغي سوداوي melancholic vertigo and giddiness melancholic vertigo and giddiness melancholic vertigo and giddiness a type of vertigo and giddiness caused by the accumulation of <em>sawdā’</em> (black bile) in the brain. it is characterized by excessive thoughts and sleeplessness, pulsus debilis and pulses durus.",sadr-o-duwār dimāghī sawdāwī
60,59,A-25.5,سدر و دوار شركي,Sadr-o-Duwār Shirkī,Secondary vertigo and giddiness,The state of Sadr and <em>Duwār</em> which comes as a complication of some other systemic diseases.,sadr-o-duwār shirkī sadr-o-duwār shirkī sadr-o-duwār shirkī sadr-o-duwār shirkī سدر و دوار شركي سدر و دوار شركي سدر و دوار شركي سدر و دوار شركي secondary vertigo and giddiness secondary vertigo and giddiness secondary vertigo and giddiness the state of sadr and <em>duwār</em> which comes as a complication of some other systemic diseases.,sadr-o-duwār shirkī
61,60,A-26,لویٰ و فيحذج/ بيجيذق/ اللویٰ,Lawā-o-Fayḥadhaj/ Bījīdhaq/ Al-Lawā,excessive lethargy and fatigue,"<em>Lawā</em> is a condition which occurs in persons who lead a sedentary life and take alcohol along with rich diet. In these persons, there is an excessive accumulation of gases in the body which in turn leads to heaviness of heart, increased fatigue and lethargy.","lawā-o-fayḥadhaj/ bījīdhaq/ al-lawā lawā-o-fayḥadhaj/ bījīdhaq/ al-lawā lawā-o-fayḥadhaj/ bījīdhaq/ al-lawā lawā-o-fayḥadhaj/ bījīdhaq/ al-lawā لویٰ و فيحذج/ بيجيذق/ اللویٰ لویٰ و فيحذج/ بيجيذق/ اللویٰ لویٰ و فيحذج/ بيجيذق/ اللویٰ لویٰ و فيحذج/ بيجيذق/ اللویٰ excessive lethargy and fatigue excessive lethargy and fatigue excessive lethargy and fatigue <em>lawā</em> is a condition which occurs in persons who lead a sedentary life and take alcohol along with rich diet. in these persons, there is an excessive accumulation of gases in the body which in turn leads to heaviness of heart, increased fatigue and lethargy.",lawā-o-fayḥadhaj/ bījīdhaq/ al-lawā
62,61,A-27,كابوس/ الخانق/ا لجاثوم والنيدلان/ خانوق/ ضاغوط,Kābūs/ Al-Khāniq/ Al-Jāthūm wa’l Nīdlān/ Khānūq/ Ḍāghūṭ,Nightmare/Incubus,Its literal meaning is to create pressure. In this condition patient feels pressure on his chest in lying posture while asleep. He feels choked and asphyxiated.,kābūs/ al-khāniq/ al-jāthūm wa’l nīdlān/ khānūq/ ḍāghūṭ kābūs/ al-khāniq/ al-jāthūm wa’l nīdlān/ khānūq/ ḍāghūṭ kābūs/ al-khāniq/ al-jāthūm wa’l nīdlān/ khānūq/ ḍāghūṭ kābūs/ al-khāniq/ al-jāthūm wa’l nīdlān/ khānūq/ ḍāghūṭ كابوس/ الخانق/ا لجاثوم والنيدلان/ خانوق/ ضاغوط كابوس/ الخانق/ا لجاثوم والنيدلان/ خانوق/ ضاغوط كابوس/ الخانق/ا لجاثوم والنيدلان/ خانوق/ ضاغوط كابوس/ الخانق/ا لجاثوم والنيدلان/ خانوق/ ضاغوط nightmare/incubus nightmare/incubus nightmare/incubus its literal meaning is to create pressure. in this condition patient feels pressure on his chest in lying posture while asleep. he feels choked and asphyxiated.,kābūs/ al-khāniq/ al-jāthūm wa’l nīdlān/ khānūq/ ḍāghūṭ
63,62,A-27.1,كابوس دموي,Kābūs Damawī,Sanguineous nightmare,"It is caused by the vapours arising out of thick <em>Dam</em> (sanguine). It is characterized by redness of body, eyes and imagery of red colored objects along with other symptoms of <em>Kābūs</em>.","kābūs damawī kābūs damawī kābūs damawī kābūs damawī كابوس دموي كابوس دموي كابوس دموي كابوس دموي sanguineous nightmare sanguineous nightmare sanguineous nightmare it is caused by the vapours arising out of thick <em>dam</em> (sanguine). it is characterized by redness of body, eyes and imagery of red colored objects along with other symptoms of <em>kābūs</em>.",kābūs damawī
64,63,A-27.2,كابوس بلغمي,Kābūs Balghamī,Phlegmatic nightmare,"It is caused by the vapours arising out of thick phlegm towards already weakened brain. Apart from all the symptoms of <em>Kābūs</em> it is characterized by lethargy, imagery of white/green colored objects.","kābūs balghamī kābūs balghamī kābūs balghamī kābūs balghamī كابوس بلغمي كابوس بلغمي كابوس بلغمي كابوس بلغمي phlegmatic nightmare phlegmatic nightmare phlegmatic nightmare it is caused by the vapours arising out of thick phlegm towards already weakened brain. apart from all the symptoms of <em>kābūs</em> it is characterized by lethargy, imagery of white/green colored objects.",kābūs balghamī
65,64,A-27.3,كابوس بارد,Kābūs Bārid,Nightmare due to cold,"This type of <em>Kābūs</em> occurs due to exposure of head to cold during sleep, inspite of the absence of predominance of any humour. It will not be characterized by the general symptoms of <em>Kābūs</em> and predominance of any humour.","kābūs bārid kābūs bārid kābūs bārid kābūs bārid كابوس بارد كابوس بارد كابوس بارد كابوس بارد nightmare due to cold nightmare due to cold nightmare due to cold this type of <em>kābūs</em> occurs due to exposure of head to cold during sleep, inspite of the absence of predominance of any humour. it will not be characterized by the general symptoms of <em>kābūs</em> and predominance of any humour.",kābūs bārid
