code,title,fully specified name,description,inclusions,exclusions,index terms,chapter
1A62.21,Late syphilis involving the musculoskeletal system,,"This is a late, sexually transmitted infection caused by the spirochete bacterium Treponema pallidum subspecies pallidum. This diagnosis is involving the musculoskeletal system.",,,"Late syphilis involving the musculoskeletal system; Syphilitic Charcot arthropathy; Syphilitic osteopathy or osteochondropathy; Late syphilitic bursitis; syphilitic bursitis; Late syphilitic bursitis, multiple sites; syphilitic bursitis, multiple sites; Late syphilitic bursitis, shoulder region; syphilitic bursitis, shoulder region; Late syphilitic bursitis, acromioclavicular joints; syphilitic bursitis, acromioclavicular joints; Late syphilitic bursitis, clavicle; syphilitic bursitis, clavicle; Late syphilitic bursitis, glenohumeral joints; Late syphilitic bursitis, scapula; syphilitic bursitis, scapula; Late syphilitic bursitis, sternoclavicular joints; syphilitic bursitis, sternoclavicular joints; Late syphilitic bursitis, upper arm; syphilitic bursitis, upper arm; Late syphilitic bursitis, elbow joint; syphilitic bursitis, elbow joint; Late syphilitic bursitis, humerus; syphilitic bursitis, humerus; Late syphilitic bursitis, forearm; syphilitic bursitis, forearm; Late syphilitic bursitis, radius; syphilitic bursitis, radius; Late syphilitic bursitis, ulna; syphilitic bursitis, ulna; Late syphilitic bursitis, wrist joint; syphilitic bursitis, wrist joint; Late syphilitic bursitis, hand; syphilitic bursitis, hand; Late syphilitic bursitis, carpus; syphilitic bursitis, carpus; Late syphilitic bursitis, fingers; syphilitic bursitis, fingers; Late syphilitic bursitis, metacarpus; syphilitic bursitis, metacarpus; Late syphilitic bursitis, pelvic region or thigh; syphilitic bursitis, pelvic region or thigh; Late syphilitic bursitis, buttock; syphilitic bursitis, buttock; Late syphilitic bursitis, femur; syphilitic bursitis, femur; Late syphilitic bursitis, hip joint; syphilitic bursitis, hip joint; Late syphilitic bursitis, pelvis; syphilitic bursitis, pelvis; Late syphilitic bursitis, sacroiliac joint; syphilitic bursitis, sacroiliac joint; Late syphilitic bursitis, lower leg; syphilitic bursitis, lower leg; Late syphilitic bursitis, fibula; syphilitic bursitis, fibula; Late syphilitic bursitis, tibia; syphilitic bursitis, tibia; Late syphilitic bursitis, knee joint; syphilitic bursitis, knee joint; Late syphilitic bursitis, ankle or foot; syphilitic bursitis, ankle or foot; Late syphilitic bursitis, ankle joint; syphilitic bursitis, ankle joint; Late syphilitic bursitis, metatarsus; syphilitic bursitis, metatarsus; Late syphilitic bursitis, other joints in foot; syphilitic bursitis, other joints in foot; Late syphilitic bursitis, tarsus; syphilitic bursitis, tarsus; Late syphilitic bursitis, toes; syphilitic bursitis, toes; Late syphilitic synovitis; Syphilis, stage unspecified, of bone; Syphilis, stage unspecified, of muscle; Syphilis, stage unspecified, of synovium",chapter1
1A62.22,Late syphilis of skin or mucous membranes,,"This is a late, sexually transmitted infection caused by the spirochete bacterium Treponema pallidum subspecies pallidum. This diagnosis is involving the skin and mucous membranes.",,,Late syphilis of skin or mucous membranes; Nodular syphilide; Gummatous syphilis; Syphilitic gumma,chapter1
1A63,"Latent syphilis, unspecified as early or late",,A disease caused by an infection with the gram-negative bacteria Treponema pallidum pallidum. This disease is characterised by serologic proof of infection without symptoms of disease. Transmission is commonly by sexual contact.,Positive serological reaction for syphilis,,"Latent syphilis, unspecified as early or late; Latent syphilis with positive serology; Positive Wassermann test; Positive serological reaction for syphilis",chapter1
1A70,Gonococcal genitourinary infection,,,,,,chapter1
1A70.0,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess,,,,Gonococcal infection of lower genitourinary tract with periurethral or accessory gland abscess,,chapter1
1A70.00,Gonorrhoea of penis,,,,,Gonorrhoea of penis; Gonococcal lymphangitis of penis,chapter1
1A70.1,Gonococcal infection of lower genitourinary tract with periurethral or accessory gland abscess,,,,,Gonococcal infection of lower genitourinary tract with periurethral or accessory gland abscess; gonococcal abscess of lower genitourinary system; Gonococcal Bartholin gland abscess; gonococcal bartholinitis; Acute gonococcal bartholinitis; Chronic gonococcal bartholinitis; Gonococcal vaginitis with abscess; Gonococcal vulvitis with abscess; Gonococcal vulvovaginitis with abscess; Gonococcal urethritis with abscess; diplococcal urethritis with abscess; gonococcal paraurethritis; gonococcal periurethral abscess; gonococcal urethral abscess; Gonococcal abscess of penis,chapter1
1A71,Gonococcal pelviperitonitis,,"This is an inflammation of the peritoneum, the thin tissue that lines the inner wall of the abdomen and covers most of the abdominal organs.",Female gonococcal pelvic inflammatory disease; Gonococcal peritonitis,,Gonococcal pelviperitonitis; Female gonococcal pelvic inflammatory disease; Gonococcal female pelvic inflammatory disease; Gonococcal peritonitis; Peritonitis due to Neisseria gonorrhoeae,chapter1
1A72,Gonococcal infection of other sites,,,,,Gonococcal infection of other sites,chapter1
1A72.0,Gonococcal infection of musculoskeletal system,Infection of the musculoskeletal system due to Neisseria gonorrhoeae,This is a species of Gram-negative coffee bean-shaped diplococci bacteria responsible for the sexually transmitted infection gonorrhoea. This diagnosis is of the musculoskeletal system.,Gonococcal arthritis; Gonococcal bursitis; Gonococcal osteomyelitis; Gonococcal synovitis; Gonococcal tenosynovitis,,"Gonococcal infection of musculoskeletal system; Infection of the musculoskeletal system due to Neisseria gonorrhoeae; Gonococcal infection of joint; gonococcal infection of joint NOS; Gonococcal arthritis; Acute gonococcal arthritis; Blennorrhagic arthritis; Gonococcal bursitis; gonococcal bursitis, site unspecified; Gonococcal bursitis, multiple sites; Gonococcal bursitis, shoulder region; Gonococcal bursitis, clavicle; Gonococcal bursitis, scapula; Gonococcal bursitis, acromioclavicular joint; Gonococcal bursitis, glenohumeral joint; Gonococcal bursitis, sternoclavicular joint; Gonococcal bursitis, upper arm; Gonococcal bursitis, humerus; Gonococcal bursitis, elbow joint; Gonococcal bursitis, forearm; Gonococcal bursitis, radius; Gonococcal bursitis, ulna; Gonococcal bursitis, wrist joint; Gonococcal bursitis, hand; Gonococcal bursitis, carpus; Gonococcal bursitis, fingers; Gonococcal bursitis, metacarpus; Gonococcal bursitis, pelvic region or thigh; Gonococcal bursitis, buttock; Gonococcal bursitis, femur; Gonococcal bursitis, pelvis; Gonococcal bursitis, hip joint; Gonococcal bursitis, sacroiliac joint; Gonococcal bursitis, lower leg; Gonococcal bursitis, fibula; Gonococcal bursitis, knee joint; Gonococcal bursitis, tibia; Gonococcal bursitis, ankle or foot; Gonococcal bursitis, metatarsus; Gonococcal bursitis, tarsus; Gonococcal bursitis, toes; Gonococcal bursitis, ankle joint; Gonococcal bursitis, other joints in foot; Gonococcal bursitis, head; Gonococcal bursitis, neck; Gonococcal bursitis, ribs; Gonococcal bursitis, skull; Gonococcal bursitis, trunk; Gonococcal bursitis, vertebral column; Gonococcal osteomyelitis; Gonococcal synovitis; Gonococcal tenosynovitis; Gonococcal rheumatism; Gonococcal spondylitis",chapter1
1A72.1,Gonococcal infection of rectum,Infection of the rectum due to Neisseria gonorrhoeae,This is a species of Gram-negative coffee bean-shaped diplococci bacteria responsible for the sexually transmitted infection gonorrhoea of the rectum.,,,Gonococcal infection of rectum; gonococcal proctitis; gonococcal rectal infection; gonococcal stricture of rectum; gonorrhoea of rectum; rectal gonorrhoea; Infection of the rectum due to Neisseria gonorrhoeae,chapter1
1A72.2,Gonococcal infection of anus,Infection of the anus due to Neisseria gonorrhoeae,This is a species of Gram-negative coffee bean-shaped diplococci bacteria responsible for the sexually transmitted infection gonorrhoea. This diagnosis is of the anus.,,,Gonococcal infection of anus; gonococcal anal infection; gonorrhoea of anus; Infection of the anus due to Neisseria gonorrhoeae,chapter1
1A72.3,Gonococcal pharyngitis,Infection of the pharynx due to Neisseria gonorrhoeae,,,,Gonococcal pharyngitis; gonococcal infection of pharynx; gonorrhoea of pharynx; pharyngeal gonococcal infection; Infection of the pharynx due to Neisseria gonorrhoeae; Acute gonococcal pharyngitis,chapter1
1A72.4,Gonococcal infection of eye,,This is a species of Gram-negative coffee bean-shaped diplococci bacteria responsible for the sexually transmitted infection gonorrhoea. This diagnosis is of the eye.,Gonococcal anterior uveitis; Gonococcal conjunctivitis,,Gonococcal infection of eye; Gonococcal anterior uveitis; Gonococcal iridocyclitis; Gonococcal conjunctivitis; Gonococcal keratitis; Keratitis blennorrhagica,chapter1
1A73,Disseminated gonococcal infection,Disseminated infection due to Neisseria gonorrhoeae,"Disseminated gonococcal infection occurs when there is bacteremic dissemination of Neisseria gonorrhoeae from its initial focus of infection mainly in female pelvic organs. It manifests as pain and swelling around one or more joints, intermittent crops of erythematous papules and pustules on the limbs, fever and rigors. Blood cultures may be but are not always positive.",,,Disseminated gonococcal infection; Gonococcal bloodstream infection; Disseminated infection due to Neisseria gonorrhoeae,chapter1
1A80,Chlamydial lymphogranuloma,,"A disease of the inguinal lymph glands, caused by an infection with the gram-negative bacteria Chlamydia trachomatis serovars L1, L2, or L3. This disease is characterised by a genital ulcer, buboes, abscesses in the groin, blood in faeces, tenesmus, or proctocolitis. Transmission is by sexual contact. Confirmation is by identification of Chlamydia trachomatis in a blood sample or by polymerase chain reaction tests.",Durand-Nicolas-Favre disease,,Chlamydial lymphogranuloma; Durand-Nicolas-Favre disease; Frei disease; LGV - [Lymphogranuloma Venereum]; Nicholas-Favre disease; chlamydial lymphogranuloma venereum; infection due to Chlamydia trachomatis serovar L1; infection due to Chlamydia trachomatis serovar L2; infection due to Chlamydia trachomatis serovar L3; lymphogranuloma venereum; lymphogranuloma venereum proctocolitis; proctocolitis due to Chlamydia trachomatis serovar L1; proctocolitis due to Chlamydia trachomatis serovar L2; proctocolitis due to Chlamydia trachomatis serovar L3,chapter1
1A81,Non-ulcerative sexually transmitted chlamydial infection,,,,Chlamydial lymphogranuloma; Chlamydial peritonitis; Trachoma; Neonatal conjunctivitis due to Chlamydia; Neonatal chlamydial pneumonia,,chapter1
1A81.0,Chlamydial infection of lower genitourinary tract,,,Chlamydial cystitis or urethritis; Chlamydial vulvovaginitis; Chlamydial cervicitis,,Chlamydial infection of lower genitourinary tract; venereal disease of the lower genitourinary sites due to chlamydia trachomatis; Chlamydial cystitis or urethritis; Chlamydial urethritis; Chlamydia urethritis; NGU - [nongonococcal urethritis] due to chlamydia trachomatis; urethritis due to chlamydia trachomatis; Chlamydial cystitis; Chlamydial vulvovaginitis; chlamydia vulvovaginitis; Chlamydia vaginitis; vaginitis chlamydial; Chlamydia vulvitis; vulvitis chlamydial; Chlamydial cervicitis,chapter1
1A81.1,Chlamydial infection of internal reproductive organs,,,Chlamydial female pelvic inflammatory disease,,Chlamydial infection of internal reproductive organs; Chlamydial infection of pelviperitoneum and other genitourinary organs; pelviperitonitis chlamydia; Chlamydial female pelvic inflammatory disease; Pelvic inflammatory disease due to Chlamydia; female chlamydial pelviperitonitis; Chlamydial salpingitis; Chlamydial endometritis; Chlamydial infection of male internal reproductive organs; Chlamydial epididymitis; Chlamydial orchitis; Male chlamydial pelviperitonitis,chapter1
