code,title,fully specified name,description,inclusions,exclusions,index terms,chapter
JA00.20,"Unspecified abortion, incomplete, complicated by genital tract or pelvic infection",,,,,"Unspecified abortion, incomplete, complicated by genital tract or pelvic infection",chapter18
JA00.21,"Unspecified abortion, incomplete, complicated by delayed or excessive haemorrhage",,,,,"Unspecified abortion, incomplete, complicated by delayed or excessive haemorrhage",chapter18
JA00.22,"Unspecified abortion, incomplete, complicated by embolism",,,,,"Unspecified abortion, incomplete, complicated by embolism",chapter18
JA00.23,"Unspecified abortion, incomplete, with other or unspecified complications",,,,,"Unspecified abortion, incomplete, with other or unspecified complications",chapter18
JA00.24,"Unspecified abortion, incomplete, without complication",,,,,"Unspecified abortion, incomplete, without complication; incomplete abortion NOS",chapter18
JA00.25,"Unspecified abortion, complete or unspecified, complicated by genital tract or pelvic infection",,,,,"Unspecified abortion, complete or unspecified, complicated by genital tract or pelvic infection",chapter18
JA00.26,"Unspecified abortion, complete or unspecified, complicated by delayed or excessive haemorrhage",,,,,"Unspecified abortion, complete or unspecified, complicated by delayed or excessive haemorrhage",chapter18
JA00.27,"Unspecified abortion, complete or unspecified, complicated by embolism",,,,,"Unspecified abortion, complete or unspecified, complicated by embolism",chapter18
JA00.28,"Unspecified abortion, complete or unspecified, with other or unspecified complications",,,,,"Unspecified abortion, complete or unspecified, with other or unspecified complications",chapter18
JA00.29,"Unspecified abortion, complete or unspecified, without complication",,,,,"Unspecified abortion, complete or unspecified, without complication; abortion NOS; unspecified abortion NOS",chapter18
JA00.3,Failed attempted abortion,,Ongoing pregnancy after medical or surgical interventions which fail to terminate the pregnancy.,failure of attempted induction of abortion,incomplete abortion,Failed attempted abortion; failure of attempted induction of abortion,chapter18
JA00.30,"Failed medical abortion, complicated by genital tract or pelvic infection",,Medical interventions which fail to terminate the pregnancy and complicated by genital tract and pelvic infection,,,"Failed medical abortion, complicated by genital tract or pelvic infection",chapter18
JA00.31,"Failed medical abortion, complicated by delayed or excessive haemorrhage",,Medical interventions which fail to terminate the pregnancy and complicated by delayed or excessive haemorrhage,,,"Failed medical abortion, complicated by delayed or excessive haemorrhage",chapter18
JA00.32,"Failed medical abortion, complicated by embolism",,Medical interventions which fail to terminate the pregnancy and complicated by delayed or excessive haemorrhage,,,"Failed medical abortion, complicated by embolism",chapter18
JA00.33,"Failed medical abortion, with other or unspecified complications",,Medical interventions which fail to terminate the pregnancy and associated with other and unspecified complications.,,,"Failed medical abortion, with other or unspecified complications",chapter18
